id,user__username,visit_date,company__sales_diary_company_code,sales_type,location,main_item,meeting_notes,tags,created_at
224,240529,2025-06-05,C0000143,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육","아그로 슈퍼 돈목살, 아이피비 목전지, 고원돈 삼겹, AMH볼라전각, AMH설도 판매",없음,2025-06-13 15:12:51
223,240529,2025-05-30,C0000143,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육","아그로 슈퍼 돈목살, 아이피비 목전지, 고원돈 삼겹, AMH볼라전각, AMH설도 판매",없음,2025-06-13 15:12:51
222,240529,2025-05-29,C0000143,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육",없음,없음,2025-06-13 15:12:51
221,240529,2025-05-27,C0000149,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육",포크킹 돈볼살 샘플진행,없음,2025-06-13 15:12:51
220,240529,2025-05-23,C0000149,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육",닭장각정육 요청 ,없음,2025-06-13 15:12:51
219,240529,2025-05-22,C0000150,대면,충청권,돼지부산물,"인터넷 판매업체
돼지막창 작업후 생산 업체",없음,2025-06-13 15:12:51
218,240529,2025-05-22,C0000149,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육",배송판매와 매장판매를 병행하며 주변 아파트단지와 원룸촌에서 고객방문 원룸촌 고객을이 소포장 상품 구매가 많음,없음,2025-06-13 15:12:51
217,240529,2025-05-21,C0000149,대면,충청권,"호주산 목심 / 미산 목전지, 냉장육 / 닭정육",배송판매와 매장판매를 병행하며 주변 아파트단지와 원룸촌에서 고객방문 원룸촌 고객을이 소포장 상품 구매가 많음,없음,2025-06-13 15:12:51
216,240529,2025-05-15,C0000148,대면,충청권,"호주산 목심, 볼라, 설도, 양지 / 미산 목전지","청주에 위치한 대형 정육점 한우, 국내산 돼지 위주의 판매
소매판매위주이며 수입육의 양은 많지 않다고함
",없음,2025-06-13 15:12:51
215,240529,2025-05-14,C0000143,대면,충청권,"킬코이 알목심, 할랄인증 닭정육, 2P목전지","아그로슈퍼 목살 AMH전각, IBP목전지 판매 
대표가 외국인 외국인커뮤니티에 물건 납품 추후 물량판매가능성 있음",없음,2025-06-13 15:12:51
214,240529,2025-05-12,C0000147,대면,충청권,"우육,돈육","청주에 위치한 가공장

작업인원 7명 배송인원 3명
지역 공장단지에 작업후 납품 국내산 미후지
프랜차이즈 초밥집에 작업후 납품 호주산 설깃",없음,2025-06-13 15:12:51
213,240529,2025-05-02,C0000146,대면,충청권,"우육,돈육,계육","아그로슈퍼 대리점
아그로슈퍼 목살, aasa 목살 작업물량 많음",없음,2025-06-13 15:12:51
212,240529,2025-04-24,C0000145,대면,충청권,미지정,구매담당자 서울에있음 작업자 1명이 작업중에있음,없음,2025-06-13 15:12:51
211,240529,2025-04-24,C0000144,대면,충청권,닭정육,"수산작업장과 같이 운영, 닭정육은 소량 사용하는것으로 보임 작업자 3명있음",없음,2025-06-13 15:12:51
210,240529,2025-04-23,C0000143,대면,충청권,"킬코이 알목심, 할랄인증 닭정육, 2P목전지","청주지역 2개점포를 운영하는 정육점, 구매 담당자가 외국인
창고직출가능 냉장육 낱개 포장하여 판매, 할랄인증 품목위주 판매",없음,2025-06-13 15:12:51
209,240527,2025-05-30,C0000142,대면,충청권,"수입돈육(전지,볼살),국내산 돈사태","병천순대국밥 프렌차이즈 가공장, 대상과 육수 거래중 , 직수입하는 전지,볼살 협의중",없음,2025-06-13 15:12:51
208,240527,2025-05-29,C0000141,대면,충청권,"수입  돈육(목뼈,목전지,중족,삼겹,목살,전지), 우입우육(BBQ,스페어립,센터컷,전각,목심,뽈살)","전자계약서 진행중, 6월부터 거래예정(배송,직출), 현재 직수입재품인 벌크전지 1fcl 협의중",없음,2025-06-13 15:12:51
207,240527,2025-05-27,C0000140,대면,충청권,"스페인목뼈, 미국 목전지, 뉴질랜드스페어립, 호주스페어립","거래처 신규코드생성완료,6월달부터 거래예정, 배송및 창고직출",없음,2025-06-13 15:12:51
206,240527,2025-05-15,C0000138,대면,충청권,"티스 스티어 7 목심, 유럽 삼겹, 콜스 척갈비",필요품목들 05.19~05.20 나누어 배송진행예정,없음,2025-06-13 15:12:51
205,240527,2025-05-15,C0000139,대면,충청권,"티스 스티어 7 목심, 유럽 삼겹, 콜스 척갈비",소량 발주주셔서 배송. 추후 중부지점 재고 샘플후 진행예정,없음,2025-06-13 15:12:51
204,240527,2025-04-28,C0000139,대면,충청권,"티스 스티어 7 목심, 유럽 삼겹, 콜스 척갈비",3개월치 재고를 한번에 받아놓은상태 재고소진시 단가문의,없음,2025-06-13 15:12:51
203,240527,2025-04-24,C0000138,대면,충청권,"티스 7번 목심 , 스미스필드 목전지, amh 목심 , 코엑스카 삼겹",당일 거래처등록 요청받았으나 법인사업자 거래처등록 절차 설명후 보류 중 .,없음,2025-06-13 15:12:51
202,240527,2025-04-22,C0000137,대면,충청권,"엑셀) 냉장늑간,냉장살치,냉장부채,차돌박이,척갈비   시보드목전지  코엑스카 삼겹",없음,없음,2025-06-13 15:12:51
201,240526,2025-06-09,C0000136,전화,충청권,주 사용 품목은 우육 및 돈육,호주산 꼬리 이번주 납품 예정으로 용차 체크중.,없음,2025-06-13 15:12:51
200,240526,2025-06-05,C0000135,전화,충청권,"모든 품목을 사용하나 주로 호주산 우육 , 미국산 돈육 사용","여러 품목을 사용하고 있으며, 단가적 매리트가 있을시 꾸준한 거래를 할수있는곳으로 충청도 지역 작업 납품 및 박스 납품을 주로 하고있는업체.",없음,2025-06-13 15:12:51
199,240526,2025-06-02,C0000123,전화,충청권,미지정,5월부터 꾸준히 통화하며 미팅 스케줄 맞추고 있음. 6/5 미팅 약속 잡음,없음,2025-06-13 15:12:51
198,240526,2025-05-27,C0000134,전화,호남권,우육 및 돈육,"주 사용 품목은 호주산 꼬리  및 국내산 돈육 사용 업체로 꾸준한 거래가 가능할것으로 보이며,  추후 국내산 매입 및 판매도 가능할것으로 예상됩니다.",없음,2025-06-13 15:12:51
197,240526,2025-05-20,C0000133,대면,충청권,우육 및 돈육,"금일 미팅 요청후 방문하였으나,  대표의 갑작스런 외근으로 인한 추후 재 방문 약속 .",없음,2025-06-13 15:12:51
196,240526,2025-05-19,C0000132,대면,충청권,"목전지, 삼겹등 사용하고있으며, 거래처 상황에 따라 우육,돈육,계육 사용","약속을 중요시하며, 꾸준한 납품을 원하고있음, 배송을 원하고있기에 창고 출고 후 직 배송을 해야 하는 부분이 있어 원가 대비 납품 가격은 도매성 보다는 높게 판매가 가능한 업체",없음,2025-06-13 15:12:51
195,240526,2025-05-13,C0000131,대면,수도권,"삼겹 매출만 있는 상황이나 수입 우,돈,계육 무관하게 사용","그때 그때 가격 맞는 품목들만 주로 거래하고 있는 업체로 품목의 다양성은 많음. 오퍼 거래까지 가능하도록 이야기중이며, 추후 매출 현재보다 상승이 가능한 업체.
거래량 즐가를 위해 꾸준히 소통하고 있는중.",없음,2025-06-13 15:12:51
194,240526,2025-05-12,C0000130,대면,수도권,"목전지,오스트리아 삼겹 등등 수입 우,돈,계육","그때 그때 가격 맞는 품목들만 주로 거래하고 있는 업체로 품목의 다양성은 많음. 오퍼 거래까지 가능하도록 이야기중이며, 추후 매출 현재보다 상승이 가능한 업체.
거래량 즐가를 위해 꾸준히 소통하고 있는중.
",없음,2025-06-13 15:12:51
193,240526,2025-05-12,C0000129,대면,수도권,"DS 포크 삼겹, 목전지 등등 수입 우,돈,계육","아이팜은 DS 삼겹 꾸준히 사용을 희망하고있으며, 월 2~300개 사용할것으로 예상됨. 꾸준한 납품을 할수있도록 재고를 차고있길 바라며, 계속 사용하는 대신 시세보다 100원 정도 낮은가격에 받고싶어함.
실 가격은 협의중에 있음.",없음,2025-06-13 15:12:51
192,240526,2025-05-02,C0000128,대면,영남권," 삼겹양지, 삼겹, 등등 우육, 돈육",각종 상품에 대한 꾸준한 납품을 위한 재고 비축 요청.,없음,2025-06-13 15:12:51
191,250015,2025-05-29,C0000127,전화,수도권,"국내산 후지, 돈등심, 닭가슴살 / 브라질산 닭정육","- 천안에 위치한 가공장으로 돈가스, 닭강정 등 생산
 - 주요 납품처 : 대기업 OEM, 급식 등
 - 국내산 사용이 대부분이며 국내산 돈등심(170톤), 3MM 후지(40톤), 국내산 닭가슴살(60톤)
    브라질산 닭정육(10톤) 등 사용
 - 차주 국내산 닭가슴살 필요 스펙과 함께 견적 전달 예정 ",없음,2025-06-13 15:12:51
