company_name,sales_diary_company_code,company_code_sm,company_code_sap,company_type,established_date,ceo_name,address,contact_person,contact_phone,main_phone,distribution_type_sap,industry_name,main_product,transaction_start_date,payment_terms,customer_classification,website,remarks,username
대대로마트,C0000151,,,,,,,,,,,,,,,,,,
하솔푸드,C0000150,,,,,,,,,,,,,,,기존,,,
프로육가공,C0000149,A1117982,1117982,,,,,,,01056611299,축육(가공장),,,2025-05-22,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
청주팜,C0000148,,,,,,,,,,,,,,,기존,,,
선유통,C0000147,20139,,,,,,,,,,,,,,기존,,,
정푸드,C0000146,,,,,,,,,,,,,,,기존,,,
율미트,C0000145,,,,,,,,,,,,,,,기존,,,
태연푸드트레이딩,C0000144,,,,,,,,,,,,,,,기존,,,
나이스미트(NICE MEAT)2호점,C0000143,A1117781,1117781,,,,,,,01089630773,축육(실수요),,,2025-05-14,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
수향식품,C0000142,,,,,,,,,,,,,,,신규,,,
윤미트,C0000141,,,,,,,,,,,,,,,신규,,,
삼원축산물,C0000140,A1118106,1118106,,,,,,,01022128182,축육(가공장),,,2025-06-05,"말일 마감, 15일이내, 현금결제(영업)",신규,,,
명월축산도매센터안영점,C0000139,A1117802,1117802,,,,,,,01044911989,축육(가공장),,,2025-05-15,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주)두산미트,C0000138,A1117652,1117652,,,,,,,01029712881,축육(가공장),,,2025-05-12,"말일 마감, 15일이내, 현금결제(영업)",신규,,,
어니스트초이스,C0000137,20153,,,,,,,,,,,,,,기존,,,
엘에이치,C0000136,,,,,,,,,,,,,,,기존,,,
탑앤탑미트 (주),C0000135,A1118213,1118213,,,,,,,010-2395-2597,축육(가공장),,,,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
엠에이치,C0000134,,,,,,,,,,,,,,,신규,,,
제이원푸드,C0000133,,,,,,,,,,,,,,,기존,,,
한솔미트,C0000132,,,,,,,,,,,,,,,기존,,,
(주) 제이알미트,C0000131,A1115903,1115903,,,,,,,01071330653,축육(도매),,,2025-02-17,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
(주)에이젯시스템,C0000130,A1114356,1114356,,,,,,,01035928709,축육(가공장),,,2024-12-05,"말일 마감, 20일이내, 현금결제(영업)",기존,,,
(주) 아이팜,C0000129,A1115860,1115860,,,,,,,01087323983,축육(도매),,,2025-02-03,"말일 마감, 5일이내, 현금결제(영업)",기존,,,
(주)케이미트대구,C0000128,A1114620,1114620,,,,,,,053-766-6593,축육(도매),,,2025-04-23,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
상신종합식품,C0000127,,,,,,,,,,,,,,,신규,,,
(주) 사세,C0000126,62538,1114755,,,,,,,043-534-0900,축육(가공장),,,2025-04-02,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
(주) 동영푸드,C0000125,62081,1114716,,,,,,,055-295-0999,축육(가공장),,,2025-01-08,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
씨앤비,C0000124,,,,,,,,,,,,,,,신규,,,
디와이씨,C0000123,,,,,,,,,,,,,,,신규,,,
농업회사법인 (주) 씨엔푸드,C0000122,1115588,1115588,,,,,,,01094255099,축육(가공장),,,2025-01-08,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
아이더스에프앤비,C0000121,,,,,,,,,,,,,,,신규,,,
혜성유통,C0000120,62553,1114767,,,,,,,010-7709-0190,축육(도매),,,2025-05-15,선입금(영업),기존,,,
(주)푸드엔,C0000119,1115670,1115670,,,,,,,01099136618,축육(가공장),,,2025-01-21,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
(주) 황해물산,C0000118,1117756,1117756,,,,,,,01020383530,축육(가공장),,,2025-05-12,"15일단위 마감, 30일이내, 현금결제(영업)",신규,,,
아스트로스,C0000117,64125,,,,,,,,,,,,,,기존,,,
(주)혜성프로비젼,C0000116,19039P,1114587,,,,,,,02-529-2225,축육(도매),,,2025-04-10,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
제이엘푸드,C0000115,,,,,,,,,,,,,,,신규,,,
영계소문,C0000114,,,,,,,,,,,,,,,신규,,,
(농)태성그린푸드 (주),C0000113,62507,1114732,,,,,,,02-471-8991,축육(가공장),,,2025-04-01,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
"삼다씨디
에프앤비",C0000112,,,,,,,,,,,,,,,신규,,,
피델리스글로벌,C0000111,,,,,,,,,,,,,,,신규,,,
(주)올리브푸드(광장동),C0000110,1114815,1114815,,,,,,,1899-1499,축육(가공장),,,2025-01-03,"15일단위 마감, 30일이내, 현금결제(영업)",기존,,,
경방미트지점,C0000109,1117636,1117636,,,,,,,010-4657-5402,축육(마트),,,2025-05-02,"말일 마감, 당월 말일, 현금결제(영업)",기존,,,
엔에스푸드,C0000108,,,,,,,,,,,,,,,신규,,,
아토무역,C0000107,,,,,,,,,,,,,,,기존,,,
(주) 신성팜,C0000106,55089,1114675,,,,,,,031-246-4303,축육(가공장),,,2025-01-08,"말일 마감, 15일이내, 현금결제(영업)",기존,,,
주식회사 우현,C0000105,39786035,3978603550,,,,,,,,매입처,,,,,기존,,,
(주) 미트제이,C0000104,55094,1114677,,,,,,,010-9028-5067,축육(가공장),,,2025-03-13,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
백암식품(부천),C0000103,40136,1114645,,,,,,,032-582-1124,축육(가공장),,,2025-01-09,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
푸딕글로벌(주),C0000102,D60175,1114908,,,,,,,070-7760-0901,축육(도매),,,2025-05-15,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
도사미트,C0000101,55078,1114668,,,,,,,031-997-9393,축육(가공장),,,2025-03-06,"10일단위 마감, 10일이내, 현금결제(영업)",기존,,,
