company_code	fiscal_year	total_assets	capital	total_equity	revenue	operating_income	net_income
C0000581	2024-12-31	948357 	100000 	412939 	10017940 	177331 	175058 
C0000581	2023-12-31	901292 	100000 	237881 	3912333 	39466 	35305 
C0000581	2022-12-31	1093178 	100000 	202576 	5442020 	68757 	61309 
C0000581	2021-12-31	581566 	100000 	141267 	4591711 	41153 	36774 
C0000581	2020-12-31	628810 	100000 	104493 	3174441 	4890 	4493 
C0000613	2023-12-31	482551 	4330 	4330 	2429547 	131306 	109385 
C0000613	2022-12-31	453993 	236 	236 	2736118 	113055 	105735 
C0000613	2021-12-31	401764 	1166 	1166 	1890206 	90595 	81923 
C0000613	2020-12-31	360707 	6221 	6221 	1721389 	73812 	74086 
C0000613	2018-12-31	184000 	119000 	119000 	1234000 	45000 	43000 
C0000614	2023-12-31	344380 	206340 	206340 	2190523 	77839 	74089 
C0000614	2022-12-31	343986 	325328 	325328 	1679701 	52504 	56124 
C0000614	2021-12-31	115786 	115191 	115191 	1291566 	54734 	55964 
C0000614	2020-12-31	63254 	59226 	59226 	778430 	26887 	29623 
C0000614	2019-12-31	59128 	37102 	37102 	929491 	36357 	37102 
C0000606	2022-12-31	430938 	1000 	367233 	1510562 	39155 	46057 
C0000606	2021-12-31	400327 	1000 	321176 	1386469 	16659 	16658 
C0000606	2020-12-31	438180 	1000 	304518 	1140242 	6893 	7450 
C0000606	2019-12-31	469493 	1000 	297068 	1312394 	-35485 	-45303 
C0000606	2018-12-31	523736 	1000 	342371 	1590296 	64673 	67745 
C0000615	2024-12-31	13197765 	100000 	3320033 	48015633 	361061 	39357 
C0000615	2023-12-31	12295226 	100000 	3319676 	47819296 	228691 	-135517 
C0000615	2022-12-31	12743185 	100000 	3455193 	49543140 	-892613 	-982155 
C0000615	2021-12-31	10955493 	100000 	4476348 	50924670 	2219777 	1514335 
C0000615	2020-12-31	8471590 	100000 	3001013 	53254541 	891370 	597893 
C0000590	2024-12-31	4046319 	100000 	1603047 	49724315 	383957 	279149 
C0000590	2023-12-31	2572075 	100000 	1343898 	39369296 	285770 	197476 
C0000590	2022-12-31	3276534 	100000 	1146422 	42719891 	356901 	264745 
C0000590	2021-12-31	1827477 	100000 	881677 	38565220 	284703 	235793 
C0000590	2020-12-31	1301237 	100000 	645884 	28514903 	152762 	127299 
C0000001	2024-12-31	18000588 	100000 	17366042 	102733094 	1087964 	881060 
C0000001	2023-12-31	17752810 	100000 	16784982 	83712227 	2965407 	2411550 
C0000001	2022-12-31	14684698 	100000 	14373432 	77316682 	1209071 	958204 
C0000001	2021-12-31	14879763 	100000 	13415228 	71766615 	5794271 	4543284 
C0000001	2020-12-31	9570541 	100000 	8871944 	63458095 	2892521 	2501817 
C0000122	2018-12-31	1670375 	50000 	171069 	9870812 	32139 	23339 
C0000122	2017-12-31	151865 	50000 	147730 	7375144 	12549 	8873 
C0000527	2024-12-31	172546404 	498000 	75870604 	309481611 	11861776 	2969815 
C0000527	2023-12-31	161510478 	498000 	73718258 	296278317 	19869350 	11463720 
C0000527	2022-12-31	159738939 	498000 	61948143 	270060194 	9726996 	3774221 
C0000527	2021-12-31	97735056 	498000 	63242759 	221225396 	19408468 	15022962 
C0000527	2020-12-31	99638180 	498000 	48197859 	204075984 	2586698 	-306903 
C0000519	2023-12-31	3352559 	200000 	1820196 	9606055 	273056 	146222 
C0000519	2021-12-31	2203831 	200000 	1199745 	9410952 	645853 	592624 
C0000519	2020-12-31	1634663 	200000 	607121 	6916926 	164660 	112746 
C0000519	2019-12-31	1582875 	200000 	494375 	4872915 	133367 	82668 
C0000519	2018-12-31	1422522 	200000 	411707 	6897152 	139981 	121108 
C0000582	2024-12-31	24173353 	3000000 	4948608 	33429448 	903418 	216844 
C0000582	2023-12-31	22793537 	3000000 	4731764 	31715051 	893085 	405966 
C0000582	2022-12-31	23564941 	3000000 	4325798 	32816410 	714348 	366753 
C0000582	2021-12-31	19047864 	3000000 	3959045 	25287561 	785110 	512562 
C0000582	2020-12-31	17343273 	3000000 	3446483 	19437653 	555893 	293765 
C0000584	2024-12-31	87371686 	1095359 	24958508 	131411984 	2962919 	1307541 
C0000584	2023-12-31	93754495 	1095360 	23650967 	117418112 	1672521 	-473388 
C0000584	2022-12-31	91494467 	1095360 	26308382 	97461513 	1061799 	-1853904 
C0000584	2021-12-31	71186845 	1095360 	34643459 	73488741 	152669 	17118983 
C0000584	2020-12-31	61813562 	1095360 	19957688 	65711336 	1753748 	1005094 
C0000607	2024-12-31	1060247 	185345 	251527 	1147140 	51249 	41305 
C0000607	2023-12-31	799944 	185345 	210222 	943618 	38026 	11718 
C0000607	2022-12-31	715277 	185345 	198504 	517532 	20753 	2505 
C0000607	2021-12-31	832309 	185345 	195999 	389578 	11666 	5696 
C0000607	2020-12-31	784314 	185345 	190303 	395878 	7392 	4958 
C0000089	2024-12-31	117156498 	892650 	34567628 	420497080 	1072586 	-892697 
C0000089	2023-12-31	111069103 	892650 	35460325 	419229753 	9953687 	8216125 
C0000089	2022-12-31	93329776 	892650 	27244200 	269529109 	-3899724 	-4901468 
C0000089	2022-03-31	92775641 	500000 	32145669 	367167799 	5224562 	3890901 
C0000089	2021-03-31	63129667 	500000 	28254767 	304526894 	16905310 	13717337 
C0000523	2024-12-31	17413563 	973600 	5950189 	43592202 	1156052 	391578 
C0000523	2023-12-31	15601347 	973600 	4768896 	45369390 	60346 	299275 
C0000523	2022-12-31	14050816 	973600 	4469621 	41032560 	947901 	349789 
C0000523	2021-12-31	12448401 	973600 	3079010 	34393418 	-26238 	-407203 
C0000523	2020-12-31	11093354 	973600 	3486213 	33373624 	584797 	257074 
C0000546	2023-12-31	1226407 	360000 	475853 	1418843 	-486838 	-510793 
C0000546	2022-12-31	1624623 	359999 	986646 	2762510 	-173943 	76535 
C0000546	2021-12-31	1667267 	359999 	910111 	5470089 	752361 	648333 
C0000546	2020-12-31	900840 	359999 	261778 	2807282 	104010 	98428 
C0000546	2019-12-31	663467 	360000 	163350 	1607292 	65705 	51637 
C0000179	2024-12-31	112148 	50000 	49074 	502215 	-588 	-926 
C0000147	2023-12-31	3334876 	779954 	779954 	5604896 	329804 	218935 
C0000147	2022-12-31	3177020 	1007482 	1007482 	4899658 	272554 	192660 
C0000147	2021-12-31	2933680 	774097 	774097 	3805865 	229807 	168793 
C0000147	2020-12-31	1436139 	278388 	278388 	3620295 	198753 	164779 
C0000147	2019-12-31	1540740 	371875 	371875 	4297427 	216896 	171907 
C0000572	2024-12-31	261619 	30000 	95914 	766936 	22804 	19207 
