회사코드	회사명	고객분류	회사유형	사업자등록번호	설립일	대표자명	본사 주소	시/구	공장 주소	대표전화	업종명	주요제품	웹사이트	참고사항	SAP코드여부	SAP거래처코드	사업	사업부	지점/팀	팀명	사원번호	영업 사원	유통형태코드	유통형태	거래처 담당자	담당자 연락처	코드생성일	거래시작일	결제조건
C0000001	(주)에이젯시스템	기존		4108600384		박정운	광주광역시 광산구 사암로 860-10 (도천동)	광주광역시 광산구		1035928709					매입매출	1114356	1033	축산유통사업부	347	중부지점	240526	김 영길	J7020	축육(가공장)	김유진	1035928709	2024-12-04	2024-12-05	말일 마감, 20일이내, 현금결제(영업)
C0000002	헬로우팜스(주)	기존	법인	2058801320	2019-12-03	정지준	서울특별시 성동구 청계천로10가길 76 (마장동) 402호 (마장동, 위드유빌딩)	서울특별시 성동구		02-2297-3297	육류 도매업	축산물			매입매출	1114500	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	정지준	02-2297-3297	2024-12-20	2025-05-21	15일단위 마감, 30일이내, 현금결제(영업)
C0000003	(주)도드람푸드	기존		1268113882		김경환	경기도 안성시 일죽면 일생로 183-10 1층	경기도 안성시		02-2297-3297						1114501	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김경환		2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000004	(주)우성미트	기존		1328172023		이상철	경기도 남양주시 진접읍 금강로 976 (내곡리)	경기도 남양주시		031-572-8111						1114502	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7030	축육(도매)	이상철	031-572-8111	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000005	(농)리베로인터내셔날 (주)	기존		1198175901		고재필	서울특별시 금천구 독산로64길 30 (독산동) (독산동,2층)	서울특별시 금천구		02-803-1175						1114503	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	고재필	02-803-1175	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000006	(주) 영신미트	기존		1198189119		신영섭	경기도 광명시 아방리2길 9 (노온사동) 1F	경기도 광명시		02-837-3400						1114504	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	신영섭	02-837-3400	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000007	(주)화남미트	기존		5148124626		전인열	대구광역시 수성구 무열로 195 (만촌동) (만촌동)	대구광역시 수성구		053-472-0451						1114505	1033	축산유통사업부	381	가공장영업팀	250010	선 효지	J7020	축육(가공장)	전인열	053-472-0451	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000008	(주)지원비앤피	기존		1058731793		안용철	경기도 고양시 일산동구 노첨길24번길 97 (장항동) 1층	경기도 고양시		010-2722-4372						1114506	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7030	축육(도매)	안용철	010-2722-4372	2024-12-20	2025-01-20	10일단위 마감, 10일이내, 현금결제(영업)
C0000009	(주)제니스미트	기존		1268625817		김봉중	경기도 광주시 초월읍 동막골길 23 (선동리)	경기도 광주시		031-762-9111						1114507	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7030	축육(도매)	김봉중	031-762-9111	2024-12-20	2025-01-07	10일단위 마감, 10일이내, 현금결제(영업)
C0000010	(주)수미트트레이딩	기존		2158720201		신용수	서울특별시 송파구 송파대로22길 5-11 (문정동) 아경빌딩 201-A호	서울특별시 송파구		02)443-2425						1114508	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	신용수	02)443-2425	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000011	(주)시그마통상	기존		2068157997		강창효	서울특별시 성동구 마장로39가길 34 (마장동)	서울특별시 성동구		02-2291-6900						1114509	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	강창효	02-2291-6900	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000012	(주) 엠지티앤씨	기존	법인	2068629007	2008-11-11	조동호	서울특별시 성동구 성수이로 89 (성수동2가) (성수동2가)	서울특별시 성동구		02-465-0801	육류 도매업	축산물			매입매출	1114510	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7020	축육(가공장)	조동호	02-465-0801	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000013	(주) 미성피앤비	기존		2068612656		김정희	서울특별시 성동구 무학로14길 27 (하왕십리동, JC빌딩) 101호,102호	서울특별시 성동구		02-2299-0495					매입매출	1114511	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7030	축육(도매)	김정희	02-2299-0495	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000014	대한제당(주)경기영업	기존		1268546493		강승우	경기도 광주시 도척면 국사봉로 97-27 (진우리, 신우냉장광주물류센터)	경기도 광주시		02-410-6266						1114512	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	강승우	02-410-6266	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000015	(주)동신푸드	기존		1278641974		이준수	경기도 의정부시 부용로203번길 8 (신곡동) (신곡동,1층)	경기도 의정부시		031-852-7785						1114513	1033	축산유통사업부	383	신경로영업팀	250017	조 성욱	J7030	축육(도매)	이준수	031-852-7785	2024-12-20	2025-01-13	15일단위 마감, 30일이내, 현금결제(영업)
C0000016	(주) 승진축산유통	기존		1328195569		김동규	경기도 남양주시 고산로 249-8 (삼패동)	경기도 남양주시		031-562-95301					매출	1114514	1033	축산유통사업부	382	도매영업팀	230111	이 태훈	J7030	축육(도매)	김동규	031-562-9530,1	2024-12-20	2025-03-07	15일단위 마감, 30일이내, 현금결제(영업)
C0000017	(주)뉴월드미트	기존		1198640090		강형철	서울특별시 금천구 디지털로 121 (가산동) (가산동, 에이스가산타워) 305호	서울특별시 금천구		010-9265-9278						1114515	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	강형철	010-9265-9278	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000018	에이스미트(주)	기존		3128628230		김인애,홍종성	충청남도 천안시 동남구 차돌고개6길 10 (다가동) (다가동)	충청남도 천안시		070-7570-1719					매출	1114516	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7030	축육(도매)	김인애,홍종성	070-7570-1719	2024-12-20	2025-01-13	15일단위 마감, 30일이내, 현금결제(영업)
C0000019	(주)서미트인터내셔널	기존		2068660691		김대수	서울특별시 성동구 고산자로 325 (마장동) (마장동, 세화빌딩) 4층	서울특별시 성동구		02-2296-6217						1114517	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김대수	02-2296-6217	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000020	(주)프라임인터내쇼날	기존		1198656802		김형석	서울특별시 금천구 범안로15길 22 (독산동) 103 (독산동)	서울특별시 금천구		02-891-5670						1114518	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김형석	02-891-5670	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000021	(주)한결엘에스	기존		2158148323		김희수	경기도 이천시 백사면 청백리로393번길 496 (현방리)	경기도 이천시		02-563-5448						1114519	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	김희수	02-563-5448	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000022	(주) 윤미트	기존		1378631755		김인철	인천광역시 서구 백범로630번길 22 (가좌동) (가좌동,축산물백화점제242호 )	인천광역시 서구		032-579-8885						1114520	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	김인철	032-579-8885	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000023	(주) 교율통상	기존		1248736974		정용일	경기도 용인시 기흥구 하갈로 141-17 (상갈동) B1 (상갈동)	경기도 용인시		031-232-7735						1114521	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	정용일	031-232-7735	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000024	(주)제이와이미트	기존		1228624285		유진영	인천광역시 부평구 배곶남로21번길 29 (십정동)	인천광역시 부평구		032-569-5601						1114522	1033	축산유통사업부	382	도매영업팀	250013	전 병희	J7030	축육(도매)	유진영	032-569-5601	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000025	(주) 빅토리푸드	기존		1428159333		최영철	서울특별시 성동구 마장로 260 (마장동) 105호 (마장동,동우빌딩)	서울특별시 성동구		02-430-29012387						1114523	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	최영철	02-430-2901,2387	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000026	(주)에스에이미트	기존		1268667312		서진원	경기도 광주시 도척면 도척로 416 (1층)	경기도 광주시		031-768-3665						1114524	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	서진원	031-768-3665	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000027	(주)미트원코리아	기존		1378629088		양동철	인천광역시 서구 백범로630번길 22 (가좌동) (가좌동,축산물백화점216-1호 )	인천광역시 서구		032-574-7738						1114525	1033	축산유통사업부	382	도매영업팀	250012	김 예지	J7030	축육(도매)	양동철	032-574-7738	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
C0000028	(주) 수안푸드 농업회	기존		1428173408		최용민	경기도 용인시 수지구 죽전로 146 (죽전동) 202-2호 (죽전동,보람프라자)	경기도 용인시		031-898-4675						1114526	1033	축산유통사업부	381	가공장영업팀	250011	임 수정	J7020	축육(가공장)	최용민	031-898-4675	2024-12-20		15일단위 마감, 30일이내, 현금결제(영업)
