No	품목코드	품목약칭	단위	규격	출하일자	코드	거래처약칭	건수	수량	중량	출고단가	공급가액	부가세액	합계금액	보관방법	소비기간	품목명칭	거래처명칭
1	1120100023 	양념돈불고기 (국후지	EA	2.5	2026.02.25	200079	홈플러스 특정_출하	3	6	15	21,917.50	131,506	13,151	144,657		10일	벌_양념돈불고기 (국내산 돈후지)	홈플러스(특정_출하)
							품목계:	3	6	15		131,506	13,151	144,657				
2	1120100024 	양념돼지불고기6(국내	EA	5	2026.02.25	200079	홈플러스 특정_출하	3	7	35	37,495.00	262,465	26,247	288,712		10일	벌_양념돼지불고기6 (국내산 돈후지)	홈플러스(특정_출하)
							품목계:	3	7	35		262,465	26,247	288,712				
3	1120100027 	벌크)춘천식닭불고기1	EA	5	2026.02.25	200079	홈플러스 특정_출하	3	7	35	34,025.00	238,175	23,818	261,993		10일	벌크)춘천식닭불고기1	홈플러스(특정_출하)
4	1120100027 	벌크)춘천식닭불고기1	EA	5	2026.02.25	200118	홈플러스_특정_순회	1	6	30	30,350.00	182,100	18,210	200,310		10일	벌크)춘천식닭불고기1	홈플러스(특정_순회)
							품목계:	4	13	65		420,275	42,028	462,303				
5	1120100048 	냉장외국산불고기언양	EA	2.5	2026.02.25	200079	홈플러스 특정_출하	2	8	20	43,482.50	347,860	34,786	382,646		10일	특정) 냉장_양념외국산불고기_언양식	홈플러스(특정_출하)
							품목계:	2	8	20		347,860	34,786	382,646				
6	1120100050 	냉장외국산불고기광양	EA	2.5	2026.02.25	200079	홈플러스 특정_출하	2	7	18	43,482.50	304,378	30,438	334,816		10일	특정) 냉장_양념외국산불고기_광양식	홈플러스(특정_출하)
							품목계:	2	7	18		304,378	30,438	334,816				
7	1120100056 	특정_서서갈비불고기	EA	2.5	2026.02.25	200118	홈플러스_특정_순회	1	8	20	20,250.00	162,000	16,200	178,200		10일	특정_서서갈비식불고기	홈플러스(특정_순회)
							품목계:	1	8	20		162,000	16,200	178,200				
8	1170100001 	양파S(국내산)(700g)	EA	0.7	2026.02.25	200079	홈플러스 특정_출하	3	40	28	3,785.00	151,400	15,140	166,540		10일	양파S(국내산)(700g)	홈플러스(특정_출하)
							품목계:	3	40	28		151,400	15,140	166,540				
9	1170100002 	양배추S(국내산)(700g	EA	0.7	2026.02.25	200079	홈플러스 특정_출하	3	7	5	3,590.00	25,130	2,513	27,643		10일	양배추S(국내산)(700g)	홈플러스(특정_출하)
							품목계:	3	7	5		25,130	2,513	27,643				
10	1170100003 	대파S(국내산)(600g)	EA	0.6	2026.02.25	200079	홈플러스 특정_출하	3	34	20	4,498.00	152,932	15,293	168,225		10일	대파S(국내산)(600g)	홈플러스(특정_출하)
							품목계:	3	34	20		152,932	15,293	168,225				
11	1179900002 	팽이버섯	EA	0.15	2026.02.25	200079	홈플러스 특정_출하	1	34	5	660	22,440	2,244	24,684		1개월	팽이버섯	홈플러스(특정_출하)
							품목계:	1	34	5		22,440	2,244	24,684				
12	1179900007 	만능비법소스	EA	10	2026.02.25	200118	홈플러스_특정_순회	1	1	10	40,100.00	40,100	4,010	44,110		6개월	만능비법소스(10kg)	홈플러스(특정_순회)
							품목계:	1	1	10		40,100	4,010	44,110				
13	1200100001 	홈1인_우동사리닭갈비	EA	0.6	2026.02.24	200009	홈플러스	1	30	18	4,360.00	130,800	13,080	143,880		7일	홈플_1인분_우동사리닭갈비	홈플러스(주)
14	1200100001 	홈1인_우동사리닭갈비	EA	0.6	2026.02.25	200009	홈플러스	1	30	18	4,360.00	130,800	13,080	143,880		7일	홈플_1인분_우동사리닭갈비	홈플러스(주)
15	1200100001 	홈1인_우동사리닭갈비	EA	0.6	2026.02.26	200009	홈플러스	2	8	5	4,360.00	34,880	3,488	38,368		7일	홈플_1인분_우동사리닭갈비	홈플러스(주)
							품목계:	4	68	41		296,480	29,648	326,128				
16	1200100002 	홈1인_된장찌개	EA	0.48	2026.02.24	200009	홈플러스	1	60	29	4,620.00	277,200	27,720	304,920		7일	홈플_1인분_된장찌개	홈플러스(주)
17	1200100002 	홈1인_된장찌개	EA	0.48	2026.02.25	200009	홈플러스	1	60	29	4,620.00	277,200	27,720	304,920		7일	홈플_1인분_된장찌개	홈플러스(주)
18	1200100002 	홈1인_된장찌개	EA	0.48	2026.02.26	200009	홈플러스	1	60	29	4,620.00	277,200	27,720	304,920		7일	홈플_1인분_된장찌개	홈플러스(주)
							품목계:	3	180	86		831,600	83,160	914,760				
19	1200100003 	홈1인_불고기버섯전골	EA	0.3	2026.02.24	200009	홈플러스	1	60	18	4,227.00	253,620	25,362	278,982		7일	홈플_1인분_소불고기버섯전골	홈플러스(주)
20	1200100003 	홈1인_불고기버섯전골	EA	0.3	2026.02.25	200009	홈플러스	1	60	18	4,227.00	253,620	25,362	278,982		7일	홈플_1인분_소불고기버섯전골	홈플러스(주)
21	1200100003 	홈1인_불고기버섯전골	EA	0.3	2026.02.26	200009	홈플러스	1	60	18	4,227.00	253,620	25,362	278,982		7일	홈플_1인분_소불고기버섯전골	홈플러스(주)
							품목계:	3	180	54		760,860	76,086	836,946				
22	1200100007 	홈플_캠핑포차어묵탕	EA	0.77	2026.02.24	200009	홈플러스	1	30	23	6,840.00	205,200	20,520	225,720		7일	홈플_캠핑포차삼진어묵탕	홈플러스(주)
23	1200100007 	홈플_캠핑포차어묵탕	EA	0.77	2026.02.25	200009	홈플러스	1	30	23	6,840.00	205,200	20,520	225,720		7일	홈플_캠핑포차삼진어묵탕	홈플러스(주)
24	1200100007 	홈플_캠핑포차어묵탕	EA	0.77	2026.02.26	200009	홈플러스	2	8	6	6,840.00	54,720	5,472	60,192		7일	홈플_캠핑포차삼진어묵탕	홈플러스(주)
							품목계:	4	68	52		465,120	46,512	511,632				
25	1200100013 	홈플_이차돌숙주볶음	EA	0.46	2026.02.24	200009	홈플러스	1	16	7	6,070.00	97,120	0	97,120		7일	홈플_이차돌숙주볶음	홈플러스(주)
26	1200100013 	홈플_이차돌숙주볶음	EA	0.46	2026.02.25	200009	홈플러스	1	16	7	6,070.00	97,120	0	97,120		7일	홈플_이차돌숙주볶음	홈플러스(주)
27	1200100013 	홈플_이차돌숙주볶음	EA	0.46	2026.02.26	200009	홈플러스	2	10	5	6,070.00	60,700	0	60,700		7일	홈플_이차돌숙주볶음	홈플러스(주)
							품목계:	4	42	19		254,940	0	254,940				
28	1220100081 	홈플_양념돼지LA갈비	EA	0.8	2026.02.24	200009	홈플러스	1	60	48	8,800.00	528,000	52,800	580,800		7일	홈플_진짜한돈양념돼지LA갈비	홈플러스(주)
29	1220100081 	홈플_양념돼지LA갈비	EA	0.8	2026.02.25	200009	홈플러스	1	76	61	8,800.00	668,800	66,880	735,680		7일	홈플_진짜한돈양념돼지LA갈비	홈플러스(주)
30	1220100081 	홈플_양념돼지LA갈비	EA	0.8	2026.02.26	200009	홈플러스	1	56	45	8,800.00	492,800	49,280	542,080		7일	홈플_진짜한돈양념돼지LA갈비	홈플러스(주)
							품목계:	3	192	154		1,689,600	168,960	1,858,560				
31	1220100084 	익스_홍천돼지불고기	EA	0.8	2026.02.24	200009	홈플러스	3	120	96	6,200.00	744,000	74,400	818,400		7일	익스_홍천식고추장돼지불고기 800g	홈플러스(주)
32	1220100084 	익스_홍천돼지불고기	EA	0.8	2026.02.25	200009	홈플러스	3	160	128	6,200.00	992,000	99,200	1,091,200		7일	익스_홍천식고추장돼지불고기 800g	홈플러스(주)
33	1220100084 	익스_홍천돼지불고기	EA	0.8	2026.02.26	200009	홈플러스	3	188	150	6,200.00	1,165,600	116,560	1,282,160		7일	익스_홍천식고추장돼지불고기 800g	홈플러스(주)
